manufacturercode,manufacturername,classoftradecode,classoftrade,sectorcode,sectorname,mediacode,medianame,categorycode,categoryname,segmentcode,segmentname,facevaluerangecode,facevaluerangedescription,facevalueperunitrangecode,facevalueperunitrangedescription,totalredemptionvalue,recordcount,percent,yyyyqqretailereow
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,202,FSI,98,Cross-Category,1,Food,2,.40 - .75,1,<.40,2558.80,1454,0.00007686,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,1360,Print At Home,5,Candy & Gum,1,Food,2,.40 - .75,1,<.40,3.00,4,0.00000021,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,1360,Print At Home,13,Meal & Side Dish Mixes & Kits,1,Food,3,.76 - 1.00,1,<.40,1434.20,1625,0.00008589,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,202,FSI,98,Cross-Category,1,Food,2,.40 - .75,1,<.40,24002.70,21154,0.00111817,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,1360,Print At Home,13,Meal & Side Dish Mixes & Kits,1,Food,3,.76 - 1.00,1,<.40,15290.60,17298,0.00091434,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,510,Handout Electronic Checkout,2,Baking Mixes/Ingredients/Supplies,1,Food,4,1.00 +,2,.40 - .75,36.00,24,0.00000127,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,9999,Unknown,11,Heat & Eat - Canned or Packaged,1,Food,3,.76 - 1.00,2,.40 - .75,226.00,131,0.00000692,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,1299,Military,13,Meal & Side Dish Mixes & Kits,1,Food,2,.40 - .75,1,<.40,19964.50,4439,0.00023464,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,1299,Military,23,Vegetables - Canned & Dried,1,Food,2,.40 - .75,1,<.40,2995.00,789,0.00004171,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,4,1.00 +,3,.76 - 1.00,134.49,56,0.00000296,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,1299,Military,23,Vegetables - Canned & Dried,1,Food,2,.40 - .75,1,<.40,1.00,2,0.00000011,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,4,1.00 +,3,.76 - 1.00,146.59,59,0.00000312,201601
705,GENERAL MILLS INC.,12,CLEARING HOUSE,2,Dry Grocery,1360,Print At Home,11,Heat & Eat - Canned or Packaged,1,Food,1,<.40,1,<.40,5.40,18,0.00000095,201601
705,GENERAL MILLS INC.,12,CLEARING HOUSE,2,Dry Grocery,9999,Unknown,7,Chips/Pretzels/Popcorn,1,Food,4,1.00 +,4,1.00 +,47.31,9,0.00000048,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,7,Chips/Pretzels/Popcorn,1,Food,2,.40 - .75,1,<.40,173.25,96,0.00000507,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,510,Handout Electronic Checkout,10,Fruit - Dried & Canned,1,Food,4,1.00 +,3,.76 - 1.00,3.20,2,0.00000011,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,2,Baking Mixes/Ingredients/Supplies,1,Food,3,.76 - 1.00,3,.76 - 1.00,3887.97,2302,0.00012168,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,202,FSI,11,Heat & Eat - Canned or Packaged,1,Food,3,.76 - 1.00,1,<.40,522.00,247,0.00001306,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,202,FSI,11,Heat & Eat - Canned or Packaged,1,Food,3,.76 - 1.00,1,<.40,11706.00,5686,0.00030055,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,510,Handout Electronic Checkout,9,"Crackers, Cookies & Snack Bars",1,Food,3,.76 - 1.00,3,.76 - 1.00,2.00,2,0.00000011,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,9999,Unknown,3,Bread & Baked Goods - Shelf Stable,1,Food,4,1.00 +,4,1.00 +,41.34,15,0.00000079,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,9999,Unknown,9,"Crackers, Cookies & Snack Bars",1,Food,4,1.00 +,2,.40 - .75,16.75,6,0.00000032,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,1299,Military,2,Baking Mixes/Ingredients/Supplies,1,Food,2,.40 - .75,2,.40 - .75,6.50,4,0.00000021,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,510,Handout Electronic Checkout,10,Fruit - Dried & Canned,1,Food,4,1.00 +,3,.76 - 1.00,1.60,1,0.00000005,201601
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,4,1.00 +,4,1.00 +,51.59,11,0.00000058,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,510,Handout Electronic Checkout,10,Fruit - Dried & Canned,1,Food,4,1.00 +,3,.76 - 1.00,4.80,3,0.00000016,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,9999,Unknown,2,Baking Mixes/Ingredients/Supplies,1,Food,3,.76 - 1.00,3,.76 - 1.00,22.96,18,0.00000095,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,1360,Print At Home,4,Breakfast Foods - Shelf Stable,1,Food,4,1.00 +,4,1.00 +,914.00,164,0.00000867,201601
705,GENERAL MILLS INC.,5,MISCELLANEOUS CLASS,2,Dry Grocery,202,FSI,4,Breakfast Foods - Shelf Stable,1,Food,3,.76 - 1.00,3,.76 - 1.00,126.00,19,0.00000100,201601
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,9999,Unknown,2,Baking Mixes/Ingredients/Supplies,1,Food,1,<.40,1,<.40,1.50,6,0.00000032,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,202,FSI,11,Heat & Eat - Canned or Packaged,1,Food,1,<.40,1,<.40,0.50,2,0.00000011,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,510,Handout Electronic Checkout,11,Heat & Eat - Canned or Packaged,1,Food,3,.76 - 1.00,3,.76 - 1.00,1897.00,1860,0.00009832,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,1299,Military,11,Heat & Eat - Canned or Packaged,1,Food,2,.40 - .75,2,.40 - .75,914.50,623,0.00003293,201601
705,GENERAL MILLS INC.,5,MISCELLANEOUS CLASS,2,Dry Grocery,202,FSI,3,Bread & Baked Goods - Shelf Stable,1,Food,2,.40 - .75,2,.40 - .75,1.50,1,0.00000005,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,1360,Print At Home,16,Pasta,1,Food,2,.40 - .75,1,<.40,1.50,3,0.00000016,201601
705,GENERAL MILLS INC.,12,CLEARING HOUSE,2,Dry Grocery,9999,Unknown,11,Heat & Eat - Canned or Packaged,1,Food,2,.40 - .75,2,.40 - .75,3.00,3,0.00000016,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,1360,Print At Home,9,"Crackers, Cookies & Snack Bars",1,Food,2,.40 - .75,1,<.40,1567.50,2907,0.00015366,201601
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,202,FSI,10,Fruit - Dried & Canned,1,Food,2,.40 - .75,1,<.40,510.50,573,0.00003029,201601
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,9999,Unknown,98,Cross-Category,1,Food,4,1.00 +,2,.40 - .75,6.00,1,0.00000005,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,1360,Print At Home,13,Meal & Side Dish Mixes & Kits,1,Food,3,.76 - 1.00,3,.76 - 1.00,52.00,25,0.00000132,201601
705,GENERAL MILLS INC.,10,PET SPLY/VET/KENNEL,2,Dry Grocery,1360,Print At Home,9,"Crackers, Cookies & Snack Bars",1,Food,3,.76 - 1.00,3,.76 - 1.00,1.00,1,0.00000005,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,202,FSI,11,Heat & Eat - Canned or Packaged,1,Food,3,.76 - 1.00,1,<.40,15971.00,3858,0.00020393,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,510,Handout Electronic Checkout,9,"Crackers, Cookies & Snack Bars",1,Food,3,.76 - 1.00,3,.76 - 1.00,1.00,1,0.00000005,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,3,Bread & Baked Goods - Shelf Stable,1,Food,4,1.00 +,4,1.00 +,44.90,16,0.00000085,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,9,"Crackers, Cookies & Snack Bars",1,Food,4,1.00 +,2,.40 - .75,436.25,121,0.00000640,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,202,FSI,1,Baby Food,1,Food,4,1.00 +,4,1.00 +,22.00,4,0.00000021,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,9999,Unknown,2,Baking Mixes/Ingredients/Supplies,1,Food,1,<.40,1,<.40,8655.25,10463,0.00055306,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,9999,Unknown,98,Cross-Category,1,Food,4,1.00 +,1,<.40,22.50,12,0.00000063,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,1299,Military,9,"Crackers, Cookies & Snack Bars",1,Food,2,.40 - .75,1,<.40,63.00,11,0.00000058,201601
705,GENERAL MILLS INC.,12,CLEARING HOUSE,2,Dry Grocery,202,FSI,3,Bread & Baked Goods - Shelf Stable,1,Food,2,.40 - .75,2,.40 - .75,56.25,45,0.00000238,201601
705,GENERAL MILLS INC.,12,CLEARING HOUSE,2,Dry Grocery,202,FSI,98,Cross-Category,1,Food,3,.76 - 1.00,1,<.40,6.00,6,0.00000032,201601
705,GENERAL MILLS INC.,12,CLEARING HOUSE,2,Dry Grocery,9999,Unknown,7,Chips/Pretzels/Popcorn,1,Food,2,.40 - .75,2,.40 - .75,7.50,9,0.00000048,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,1360,Print At Home,2,Baking Mixes/Ingredients/Supplies,1,Food,2,.40 - .75,1,<.40,721.50,947,0.00005006,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,9999,Unknown,5,Candy & Gum,1,Food,4,1.00 +,4,1.00 +,6.99,1,0.00000005,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,9999,Unknown,9,"Crackers, Cookies & Snack Bars",1,Food,3,.76 - 1.00,3,.76 - 1.00,2770.00,968,0.00005117,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,202,FSI,9,"Crackers, Cookies & Snack Bars",1,Food,2,.40 - .75,NULL,NULL,2.50,1,0.00000005,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,1360,Print At Home,8,Condiments/Dips/Gravies/Sauces,1,Food,2,.40 - .75,2,.40 - .75,30.00,54,0.00000285,201601
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,9999,Unknown,9,"Crackers, Cookies & Snack Bars",1,Food,2,.40 - .75,2,.40 - .75,5.50,10,0.00000053,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,202,FSI,9,"Crackers, Cookies & Snack Bars",1,Food,3,.76 - 1.00,3,.76 - 1.00,1359.00,819,0.00004329,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,2,Baking Mixes/Ingredients/Supplies,1,Food,4,1.00 +,4,1.00 +,2448.04,883,0.00004667,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,1299,Military,11,Heat & Eat - Canned or Packaged,1,Food,3,.76 - 1.00,1,<.40,5.00,5,0.00000026,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,1360,Print At Home,13,Meal & Side Dish Mixes & Kits,1,Food,2,.40 - .75,2,.40 - .75,50.00,98,0.00000518,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,1360,Print At Home,10,Fruit - Dried & Canned,1,Food,2,.40 - .75,2,.40 - .75,1099.60,2170,0.00011470,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,1360,Print At Home,10,Fruit - Dried & Canned,1,Food,2,.40 - .75,2,.40 - .75,12745.20,24551,0.00129773,201601
705,GENERAL MILLS INC.,12,CLEARING HOUSE,2,Dry Grocery,9999,Unknown,9,"Crackers, Cookies & Snack Bars",1,Food,2,.40 - .75,1,<.40,2.25,3,0.00000016,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,2,.40 - .75,2,.40 - .75,1637.44,1110,0.00005867,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,98,Cross-Category,1,Food,3,.76 - 1.00,3,.76 - 1.00,45490.00,16105,0.00085128,201601
705,GENERAL MILLS INC.,12,CLEARING HOUSE,2,Dry Grocery,510,Handout Electronic Checkout,11,Heat & Eat - Canned or Packaged,1,Food,4,1.00 +,1,<.40,49.50,33,0.00000174,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,1,<.40,1,<.40,0.68,2,0.00000011,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,3,.76 - 1.00,2,.40 - .75,4862.34,1409,0.00007448,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,3,.76 - 1.00,2,.40 - .75,175658.19,62227,0.00328922,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,1299,Military,11,Heat & Eat - Canned or Packaged,1,Food,2,.40 - .75,1,<.40,33.00,10,0.00000053,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,1360,Print At Home,7,Chips/Pretzels/Popcorn,1,Food,4,1.00 +,4,1.00 +,116.00,49,0.00000259,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,9999,Unknown,7,Chips/Pretzels/Popcorn,1,Food,1,<.40,1,<.40,0.25,1,0.00000005,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,5,Candy & Gum,1,Food,4,1.00 +,4,1.00 +,105.90,10,0.00000053,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,9,"Crackers, Cookies & Snack Bars",1,Food,3,.76 - 1.00,3,.76 - 1.00,5907.00,2725,0.00014404,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,4,1.00 +,3,.76 - 1.00,567.22,233,0.00001232,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,1360,Print At Home,98,Cross-Category,1,Food,4,1.00 +,4,1.00 +,94.00,33,0.00000174,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,2,Baking Mixes/Ingredients/Supplies,1,Food,3,.76 - 1.00,1,<.40,381.00,218,0.00001152,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,1360,Print At Home,2,Baking Mixes/Ingredients/Supplies,1,Food,2,.40 - .75,2,.40 - .75,156.50,272,0.00001438,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,202,FSI,4,Breakfast Foods - Shelf Stable,1,Food,3,.76 - 1.00,2,.40 - .75,12434.00,4282,0.00022634,201601
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,1360,Print At Home,13,Meal & Side Dish Mixes & Kits,1,Food,2,.40 - .75,1,<.40,43.25,85,0.00000449,201601
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,1360,Print At Home,23,Vegetables - Canned & Dried,1,Food,2,.40 - .75,1,<.40,1.50,1,0.00000005,201601
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,9999,Unknown,98,Cross-Category,1,Food,3,.76 - 1.00,2,.40 - .75,2.00,1,0.00000005,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,202,FSI,4,Breakfast Foods - Shelf Stable,1,Food,3,.76 - 1.00,2,.40 - .75,116041.00,50271,0.00265724,201601
705,GENERAL MILLS INC.,13,LARGE SUPERMARKET,2,Dry Grocery,9999,Unknown,9,"Crackers, Cookies & Snack Bars",1,Food,3,.76 - 1.00,2,.40 - .75,14637.00,8030,0.00042445,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,1360,Print At Home,13,Meal & Side Dish Mixes & Kits,1,Food,2,.40 - .75,1,<.40,324.00,621,0.00003283,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,1360,Print At Home,23,Vegetables - Canned & Dried,1,Food,2,.40 - .75,1,<.40,53.50,105,0.00000555,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,9999,Unknown,98,Cross-Category,1,Food,3,.76 - 1.00,2,.40 - .75,22.00,20,0.00000106,201601
705,GENERAL MILLS INC.,12,CLEARING HOUSE,2,Dry Grocery,1360,Print At Home,98,Cross-Category,1,Food,1,<.40,1,<.40,0.90,3,0.00000016,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,202,FSI,4,Breakfast Foods - Shelf Stable,1,Food,3,.76 - 1.00,3,.76 - 1.00,13383.00,6557,0.00034659,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,202,FSI,10,Fruit - Dried & Canned,1,Food,2,.40 - .75,1,<.40,255.50,376,0.00001987,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,202,FSI,11,Kitchen Items & Appliances,1,Food,3,.76 - 1.00,1,<.40,3783.00,2977,0.00015736,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,1360,Print At Home,2,Cheese,1,Food,2,.40 - .75,2,.40 - .75,156.50,272,0.00001438,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,9999,Unknown,4,Breakfast Foods - Shelf Stable,1,Food,4,1.00 +,4,1.00 +,9502.95,1863,0.00009848,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,9999,Unknown,4,Fragrances & Gift Sets,1,Food,1,<.40,1,<.40,0.68,2,0.00000011,201601
705,GENERAL MILLS INC.,2,LARGE DRUG/PHARM,2,Dry Grocery,9999,Unknown,13,Yogurt,1,Food,2,.40 - .75,1,<.40,12.85,18,0.00000095,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,202,FSI,4,"Charcoal, Logs & Accessories",1,Food,2,.40 - .75,2,.40 - .75,4728.00,4039,0.00021349,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,1299,Military,2,Coffee & Tea,1,Food,3,.76 - 1.00,1,<.40,7140.00,1690,0.00008933,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,1360,Print At Home,4,"Charcoal, Logs & Accessories",1,Food,3,.76 - 1.00,3,.76 - 1.00,1841.00,1818,0.00009610,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,1360,Print At Home,9,Meat/Poultry/Seafood,1,Food,3,.76 - 1.00,2,.40 - .75,41.00,41,0.00000217,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,9999,Unknown,2,Breakfast Foods,1,Food,3,.76 - 1.00,2,.40 - .75,53.00,44,0.00000233,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,9999,Unknown,9,"Crackers, Cookies & Snack Bars",1,Food,2,.40 - .75,1,<.40,15.50,17,0.00000090,201601
705,GENERAL MILLS INC.,3,MILITARY,2,Dry Grocery,9999,Unknown,9,Household Cleaners & Supplies,1,Food,3,.76 - 1.00,1,<.40,808.00,123,0.00000650,201601
705,GENERAL MILLS INC.,5,MISCELLANEOUS CLASS,2,Dry Grocery,202,FSI,4,Fruit,1,Food,3,.76 - 1.00,1,<.40,328.00,61,0.00000322,201601
705,GENERAL MILLS INC.,5,MISCELLANEOUS CLASS,2,Dry Grocery,9999,Unknown,4,Dough Products,1,Food,3,.76 - 1.00,3,.76 - 1.00,79.00,25,0.00000132,201601
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,202,FSI,4,Breakfast Foods - Shelf Stable,1,Food,2,.40 - .75,2,.40 - .75,93.25,91,0.00000481,201601
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,1360,Print At Home,11,Kitchen Items & Appliances,1,Food,3,.76 - 1.00,1,<.40,378.00,375,0.00001982,201601
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,9999,Unknown,7,Foil/Plastic Wrap & Bags/Plastic Containers,1,Food,3,.76 - 1.00,3,.76 - 1.00,1.00,1,0.00000005,201601
705,GENERAL MILLS INC.,7,VARIETY/DISCOUNT,2,Dry Grocery,9999,Unknown,11,Sour Cream & Whipped Cream - Canned,1,Food,3,.76 - 1.00,3,.76 - 1.00,17.00,3,0.00000016,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,202,FSI,11,Kitchen Items & Appliances,1,Food,2,.40 - .75,2,.40 - .75,2547.75,1378,0.00007284,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,202,FSI,13,Light Bulbs & Batteries,1,Food,2,.40 - .75,1,<.40,58147.25,49660,0.00262495,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,510,Handout Electronic Checkout,4,Fragrances & Gift Sets,1,Food,4,1.00 +,2,.40 - .75,39167.50,23602,0.00124756,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,510,Handout Electronic Checkout,9,Sanitary Protection & Feminine Hygiene,1,Food,3,.76 - 1.00,2,.40 - .75,16.00,16,0.00000085,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,1299,Military,10,Fruit - Dried & Canned,1,Food,3,.76 - 1.00,2,.40 - .75,4.00,3,0.00000016,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,1360,Print At Home,3,Coffee Creamers & Hot Chocolate Mix,1,Food,2,.40 - .75,1,<.40,0.40,1,0.00000005,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,1360,Print At Home,11,Heat & Eat - Canned or Packaged,1,Food,1,<.40,1,<.40,5748.60,18867,0.00099728,201601
705,GENERAL MILLS INC.,8,MASS MERCHANDISER,2,Dry Grocery,9999,Unknown,3,Desserts,1,Food,4,1.00 +,2,.40 - .75,3.00,2,0.00000011,201601
